"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"1","CR240205",62.23,14.64,83.48,201652143.197212,35735413.3032656
"2","CR240205",11.2601,22.9705,37.8825,192412876.305867,131410594.965369
"3","CR240205",55.823,13.4237,80.0482,232335.004362372,222347.839660314
"4","CR240206",62.23,14.64,83.48,27792201649.9911,47290022.1129667
"5","CR240206",11.4292,23.3155,38.3965,28821905673.3994,58673049.7818574
"6","CR241203",62.23,14.64,83.48,27792201649.9911,31850199.5904755
"7","CR241204",11.3645,23.1836,38.1999,631863816.097822,12601231.5081376
"8","CR241204",11.8442,24.1622,39.6583,2951756.20979468,2951756.20979468
"9","CR241204",11.3888,23.2331,38.2738,6534093.51314248,6534093.51314248
"10","CR241204",11.3125,23.0774,38.0418,3369438.31912002,3369438.31912002
"11","CR241204",11.4813,23.4218,38.555,17050334.7794642,17050334.7794642
"12","CR241204",12.3276,25.1483,41.1278,2678125.44018613,2678125.44018613
"13","CR241204",11.4585,23.3754,38.4859,40893225.5441677,40893225.5441677
"14","CR241204",90.51,28.06,130.71,780318498.930449,51987325.1743955
"15","CR241204",62.23,14.64,83.48,27792201649.9911,2113333139.16467
"16","CR241204",69.2,15.22,103.21,28614503243.2569,75605871.1425888
"17","CR241204",55.823,13.4237,80.0482,57337.244483497,57337.244483497
"18","CR241204",73.3046,17.4462,105.51,164372916.955341,118475975.044453
"19","CR241205",62.23,14.64,83.48,201652143.197212,165916730.046808
"20","CR241205",11.513,23.4866,38.6515,2665016.33674717,2665016.33674717
"21","CR241205",11.5803,23.6237,38.8559,1494435.74102647,1494435.74102647
"22","CR241205",11.4336,23.3246,38.4101,9717276.41556778,9717276.41556778
"23","CR241205",11.3398,23.1331,38.1248,1186097959.14883,592943496.557039
"24","CR241205",11.2601,22.9705,37.8825,192412876.305867,61002265.0739397
"25","CR241205",12.0298,24.5408,40.2225,1555370.30771871,1555370.30771871
"26","CR241205",12.0171,24.5149,40.1839,5115427.25836006,5115427.25836006
"27","CR241205",11.2509,22.9518,37.8546,8668904.12251349,8668904.12251349
"28","CR241205",11.2344,22.9182,37.8046,10960210.1527528,10960210.1527528
"29","CR241205",11.5844,23.6321,38.8684,33236053.7661645,33236053.7661645
"30","CR241205",11.3645,23.1836,38.1999,631863816.097822,566849687.303238
"31","CR241205",13.4557,27.4496,44.5572,1081193.60006345,1081193.60006345
"32","CR241205",13.4557,27.4496,44.5572,6676.44080453576,6676.44080453576
"33","CR241205",84.38,20.25,127.54,5422047298.6949,48079760.2045502
"34","CR241205",90.51,28.06,130.71,780318498.930449,15881484.5435516
"35","CR241205",121.92,29.26,167.46,9213683440.0769,15415033.6219539
"36","CR241205",62.23,14.64,83.48,27792201649.9911,897331098.082552
"37","CR241205",40.5428,19.737,72.0177,942869033.662403,5194957.21921431
"38","CR241205",69.2,15.22,103.21,28614503243.2569,73292472.3491177
"39","CR241205",11.4292,23.3155,38.3965,28821905673.3994,1058432.34401584
"40","CR241205",44.1606,19.4841,75.7162,1983097.3741505,1983097.3741505
"41","CR241205",55.823,13.4237,80.0482,232335.004362372,9987.16470205784
"42","CR241205",40.5428,19.737,72.0177,801955734.576875,3544178.38443724
"43","CR241205",73.3046,17.4462,105.51,43580434.1015775,79609.2152216824
"44","CR241205",73.3046,17.4462,105.51,1845259762.69041,250521.564839639
"45","CR241206",12.2662,25.0231,40.9412,15500726.4777522,15500726.4777522
"46","CR241206",11.3398,23.1331,38.1248,1186097959.14883,266419925.414449
"47","CR241206",7.4,17.58,26.79,10021481375.1544,159110282.457456
"48","CR241206",84.38,20.25,127.54,5422047298.6949,162022732.289534
"49","CR241206",121.92,29.26,167.46,9213683440.0769,215544183.95856
"50","CR241206",62.23,14.64,83.48,27792201649.9911,306699661.964757
"51","CR241206",69.2,15.22,103.21,28614503243.2569,207834684.005364
"52","CR241206",11.4292,23.3155,38.3965,28821905673.3994,1541150140.3413
"53","CR241206",40.5428,19.737,72.0177,801955734.576875,10367437.5299092
"54","CR241207",10.9349,22.3072,36.894,136513913.154387,136513913.154387
"55","CR241207",7.4,17.58,26.79,10021481375.1544,9438104.66300477
"56","CR241207",62.23,14.64,83.48,27792201649.9911,466372613.667369
"57","CR241207",7.4,17.58,26.79,103111049331.025,2829466.30119735
"58","CR241207",11.4292,23.3155,38.3965,28821905673.3994,1210204132.3091
"59","CR241208",62.23,14.64,83.48,27792201649.9911,39066067.2739156
"60","CR241208",40.5428,19.737,72.0177,942869033.662403,209786.001883801
"61","CR241208",69.2,15.22,103.21,28614503243.2569,33755043.4026068
"62","CR241208",7.4,17.58,26.79,103111049331.025,70520809.6545817
"63","CR241208",11.4292,23.3155,38.3965,28821905673.3994,525658900.870701
"64","CR241208",73.3046,17.4462,105.51,27729685.4889948,9089653.84976146
"65","CR241208",67.5997,17.8451,99.6778,7972452.96090258,7972452.96090258
"66","CR241208",73.3046,17.4462,105.51,1845259762.69041,624906.915096276
"67","CR241209",84.38,20.25,127.54,5422047298.6949,30750.9355547801
"68","CR241209",62.23,14.64,83.48,27792201649.9911,40076695.0899958
"69","CR241209",7.4,17.58,26.79,103111049331.025,1708168.23562536
"70","CR241209",67.43,16.06,97.65,7351.88754816679,7351.88754816679
"71","CR241209",11.4292,23.3155,38.3965,28821905673.3994,298908935.004254
"72","CR241209",40.5428,19.737,72.0177,62658.3331344873,56775.1822022349
"73","CR241209",70.6947,17.6287,102.842,2240344.69143657,2240344.69143657
"74","CR241209",68.8947,17.7546,101.002,1673685.90888277,1673685.90888277
"75","CR241209",73.1151,17.4595,105.316,3767808.70828032,3767808.70828032
"76","CR241209",73.3046,17.4462,105.51,1845259762.69041,252679.802771769
"77","CR242203",90.51,28.06,130.71,780318498.930449,1131800.78684087
"78","CR242203",62.23,14.64,83.48,27792201649.9911,94557750.4375187
"79","CR242203",69.2,15.22,103.21,28614503243.2569,53843.7859797059
"80","CR242203",73.3046,17.4462,105.51,998178529.5655,100325287.680604
"81","CR242203",73.3046,17.4462,105.51,1845259762.69041,237230.213684811
"82","CR242204",90.51,28.06,130.71,780318498.930449,66925248.5652022
"83","CR242204",121.92,29.26,167.46,9213683440.0769,2545793.52817579
"84","CR242204",62.23,14.64,83.48,27792201649.9911,2159700716.26978
"85","CR242204",69.2,15.22,103.21,28614503243.2569,548877176.262381
"86","CR242204",43.2294,19.5492,74.7643,2507781.69188103,2507781.69188103
"87","CR242204",66.0264,17.9551,98.0694,7150114.68899976,7150114.68899976
"88","CR242204",73.1775,17.4551,105.38,2221813.91980641,2221229.87566138
"89","CR242204",73.3046,17.4462,105.51,45868379.4087494,45868379.4087494
"90","CR242204",73.3046,17.4462,105.51,12418685.1420135,12418685.1420135
"91","CR242204",73.3046,17.4462,105.51,998178529.5655,26868345.454977
"92","CR242204",73.3046,17.4462,105.51,1845259762.69041,106767416.320737
"93","CR242205",11.3398,23.1331,38.1248,1186097959.14883,326734533.686199
"94","CR242205",11.8913,24.2583,39.8015,29037270.5723776,29037270.5723776
"95","CR242205",11.8793,24.2337,39.7649,406177213.073051,350743701.777894
"96","CR242205",11.3645,23.1836,38.1999,631863816.097822,52412896.4183104
"97","CR242205",121.92,29.26,167.46,375053508.370768,3276189.90663731
"98","CR242205",121.92,29.26,167.46,9213683440.0769,257425731.979639
"99","CR242205",62.23,14.64,83.48,27792201649.9911,709350085.097691
