"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"1","CR249226",58.05,11.9,78.16,874993.005831481,1.81890625174856
"2","CR249226",58.05,11.9,78.16,16837161831.262,19526747.9612896
"3","CR249226",75.1,17.65,99.48,147064357439.877,1578225.64394346
"4","CR249226",96.5,22.68,125.79,6682562518.15512,205527.427772145
"5","CR249226",96.5,22.68,125.79,159172.54386821,9.27323060556958
"6","CR249226",96.5,22.68,125.79,223170623973.518,383949478.530654
"7","CR249226",3.48,8.26,12.57,769.965445516055,9.8760735352443
"8","CR249226",58.14,11.92,75.82,32013625885.6156,1021328.91146017
"9","CR249226",85.73,20.15,112.96,24962742231.1011,179.39248419553
"10","CR249226",3.48,8.26,12.57,12379608597.4653,78651663.4300367
"11","CR249227",58.05,11.9,78.16,16837161831.262,3691833.72833276
"12","CR249227",96.5,22.68,125.79,159172.54386821,0.00926290168882571
"13","CR249227",96.5,22.68,125.79,223170623973.518,144929238.688866
"14","CR249227",58.14,11.92,75.82,32013625885.6156,131902.208108226
"15","CR249227",85.73,20.15,112.96,24962742231.1011,1208099.90434919
"16","CR249227",43.49,15.42,68.5,37917805701.2712,3109780.95674237
"17","CR249227",3.48,8.26,12.57,12379608597.4653,40183355.6568323
"18","CR250224",58.05,11.9,78.16,874993.005831481,17.7976249361749
"19","CR250224",58.05,11.9,78.16,16837161831.262,44206047.2355539
"20","CR250224",58.05,11.9,78.16,217022634.6137,288724.740159129
"21","CR250224",96.5,22.68,125.79,159172.54386821,9.74001798174222
"22","CR250224",96.5,22.68,125.79,223170623973.518,62359157.4912124
"23","CR250224",12.54,25.59,39.79,30851647.4764135,118557.00489894
"24","CR250224",49.26,10.1,64.69,781.635298669229,8.23816589894705
"25","CR250224",3.48,8.26,12.57,769.965445516055,2.68291742366008
"26","CR250224",12.54,25.59,39.79,17795982470.8765,33864180.3324377
"27","CR250224",12.54,25.59,39.79,2180.94170317683,9.78891495790327
"28","CR250224",3.48,8.26,12.57,12379608597.4653,16386484.549274
"29","CR250225",58.05,11.9,78.16,874993.005831481,69.0559816600538
"30","CR250225",58.05,11.9,78.16,16837161831.262,195909585.183202
"31","CR250225",58.05,11.9,78.16,217022634.6137,307230.01611867
"32","CR250225",96.5,22.68,125.79,159172.54386821,0.96763466534961
"33","CR250225",96.5,22.68,125.79,223170623973.518,46594358.6983681
"34","CR250225",49.26,10.1,64.69,781.635298669229,6.39924926224921
"35","CR250225",3.48,8.26,12.57,769.965445516055,44.9597155508818
"36","CR250225",3.48,8.26,12.57,12379608597.4653,530831809.276301
"37","CR250225",3.48,8.26,12.57,9737190.22215178,317178.04255663
"38","CR250226",58.05,11.9,78.16,874993.005831481,137.239176110914
"39","CR250226",58.05,11.9,78.16,16837161831.262,620327799.660733
"40","CR250226",58.05,11.9,78.16,217022634.6137,1578764.53565876
"41","CR250226",96.5,22.68,125.79,223170623973.518,288827805.382086
"42","CR250226",3.48,8.26,12.57,769.965445516055,32.9333811201147
"43","CR250226",18.64,13.26,36.11,16.0601785422671,1.2874698397829
"44","CR250226",1.96,6.55,8.69,15623532977.9728,1530279.4530987
"45","CR250226",3.48,8.26,12.57,12379608597.4653,1901403740.61217
"46","CR250226",3.48,8.26,12.57,9737190.22215178,916417.733328662
"47","CR250227",58.05,11.9,78.16,874993.005831481,41.0314487743788
"48","CR250227",58.05,11.9,78.16,16837161831.262,128562940.843649
"49","CR250227",21.58,4.75,32.12,1274.71898601576,13.1190499083796
"50","CR250227",96.5,22.68,125.79,159172.54386821,79.0557687359638
"51","CR250227",96.5,22.68,125.79,223170623973.518,707123690.357518
"52","CR250227",36.94,7.57,49.27,9.5117722555149,9.5117722555149
"53","CR250227",49.26,10.1,64.69,781.635298669229,6.56690916733351
"54","CR250227",3.48,8.26,12.57,769.965445516055,54.4584471587877
"55","CR250227",18.64,13.26,36.11,16.0601785422671,14.7727087024842
"56","CR250227",18.64,13.26,36.11,6.40790828038007,6.40790828038007
"57","CR250227",21.58,4.75,32.12,8875020483.94831,26449318.2053621
"58","CR250227",1.96,6.55,8.69,15623532977.9728,3024604.33212857
"59","CR250227",3.48,8.26,12.57,12379608597.4653,1967354453.68904
"60","CR250227",3.48,8.26,12.57,9737190.22215178,756342.378220833
"61","CR250227",8.13,4.31,13.24,17.2833733451986,5.28855578510823
"62","CR250227",8.13,4.31,13.24,1440.80063312784,23.9242551375742
"63","CR250227",8.13,4.31,13.24,213.919170204406,1.85437720988739
"64","CR250228",58.05,11.9,78.16,874993.005831481,95.2956500752389
"65","CR250228",58.05,11.9,78.16,16837161831.262,150913667.826754
"66","CR250228",21.58,4.75,32.12,1274.71898601576,32.8370367607412
"67","CR250228",74.1,19.6,106.4,35288774178.4346,420040.201435693
"68","CR250228",96.5,22.68,125.79,159172.54386821,94.8200008561711
"69","CR250228",96.5,22.68,125.79,223170623973.518,1352289725.23883
"70","CR250228",85.73,20.15,112.96,24962742231.1011,1680654.05641593
"71","CR250228",21.58,4.75,32.12,8875020483.94831,100397534.103114
"72","CR250228",1.96,6.55,8.69,15623532977.9728,16020544.2705433
"73","CR250228",3.48,8.26,12.57,12379608597.4653,835426371.431317
"74","CR250228",8.13,4.31,13.24,17.2833733451986,11.9948175600904
"75","CR250228",8.13,4.31,13.24,1440.80063312784,17.2576601388881
"76","CR250228",8.13,4.31,13.24,213.919170204406,2.29465591581538
"77","CR250236",0.8,0.16,1.05,4328705446.78249,303565.716816209
"78","CR250236",74.1,19.6,106.4,35288774178.4346,337214606.278369
"79","CR250236",0,0,0,23045931.6847714,2316294.05253576
"80","CR250236",0,0,0,87276482.5198395,972184.434344277
"81","CR250236",74.1,19.6,106.4,365235745.179879,14688756.8107378
"82","CR250236",74.1,19.6,106.4,334831.078146177,38.210262155569
"83","CR250236",74.1,19.6,106.4,268.787538389606,12.8105353461578
"84","CR250236",0.72,4.64,8.99,43713904184.6993,73246197.5200037
"85","CR250236",0.72,4.64,8.99,2080.27470617138,30.7472210518899
"86","CR250236",0.72,4.64,8.99,199801150.237931,357697.998826645
"87","CR250237",58.05,11.9,78.16,874993.005831481,0.794127107523272
"88","CR250237",0.8,0.16,1.05,4328705446.78249,54989.194624722
"89","CR250237",74.1,19.6,106.4,35288774178.4346,408373570.322379
"90","CR250237",0,0,0,23045931.6847714,17973.6586490716
"91","CR250237",78.54,18.46,103.74,690099291.31069,91194.3297211557
"92","CR250237",88.6,21.3,121.8,1582498249.22205,7189163.15892055
"93","CR250237",85.73,20.15,112.96,415795696.922959,3162352.82094716
"94","CR250237",74.1,19.6,106.4,334831.078146177,99.314798517312
"95","CR250237",85.73,20.15,112.96,24962742231.1011,243049.874463159
"96","CR250237",0.72,4.64,8.99,43713904184.6993,314254791.916649
"97","CR250237",0.72,4.64,8.99,2080.27470617138,51.1104400737362
"98","CR250237",0.72,4.64,8.99,199801150.237931,2518000.69306415
"99","CR250237",78.54,18.46,103.74,13111389031.9598,6135692.88651932
"100","CR250239",74.1,19.6,106.4,35288774178.4346,108331168.819894
"101","CR250239",88.6,21.3,121.8,1582498249.22205,3135453.47997889
"102","CR250239",74.1,19.6,106.4,334831.078146177,26.4061631625619
"103","CR250239",127.1,29.9,173.8,3213.98822363569,1.99481315977233
"104","CR250239",0.72,4.64,8.99,43713904184.6993,91689545.9994007
"105","CR250239",0.72,4.64,8.99,2080.27470617138,0.929000922032105
"106","CR251224",58.05,11.9,78.16,874993.005831481,33.3019118642544
"107","CR251224",58.05,11.9,78.16,16837161831.262,264382505.271295
"108","CR251224",58.05,11.9,78.16,4991650.68136407,3.52646970106957
"109","CR251224",58.05,11.9,78.16,217022634.6137,3001203.85940089
"110","CR251224",96.5,22.68,125.79,6682562518.15512,991782.637050899
"111","CR251224",96.5,22.68,125.79,159172.54386821,26.579361897253
"112","CR251224",96.5,22.68,125.79,223170623973.518,460763052.332176
"113","CR251224",49.26,10.1,64.69,781.635298669229,6.29359690986166
"114","CR251224",12.54,25.59,39.79,17795982470.8765,99230681.7696661
"115","CR251224",43.49,15.42,68.5,4288.40865150335,9.67437525186688
"116","CR251224",43.49,15.42,68.5,37917805701.2712,5022881.58262422
"117","CR251224",3.48,8.26,12.57,12379608597.4653,2928214.87675766
"118","CR251225",58.05,11.9,78.16,874993.005831481,65.5158187408449
"119","CR251225",58.05,11.9,78.16,16837161831.262,552075237.31322
"120","CR251225",58.05,11.9,78.16,217022634.6137,1107948.19891458
"121","CR251225",96.5,22.68,125.79,6682562518.15512,646260.374813784
"122","CR251225",96.5,22.68,125.79,159172.54386821,53.4480611712461
"123","CR251225",96.5,22.68,125.79,223170623973.518,1534793477.87772
"124","CR251225",49.26,10.1,64.69,781.635298669229,25.521907533809
"125","CR251225",1.96,6.55,8.69,1468.59489968438,5.46343973868353
"126","CR251225",3.48,8.26,12.57,769.965445516055,1.49302163922544
"127","CR251225",1.96,6.55,8.69,15623532977.9728,65861348.3668558
"128","CR251225",3.48,8.26,12.57,12379608597.4653,245146914.702986
"129","CR251225",3.48,8.26,12.57,9737190.22215178,378453.777905323
"130","CR251226",58.05,11.9,78.16,874993.005831481,15.1802918882753
"131","CR251226",58.05,11.9,78.16,16837161831.262,114492062.931924
"132","CR251226",58.05,11.9,78.16,217022634.6137,102026.620594749
"133","CR251226",26.69,16.94,51.63,3041293751.60737,12054380.5709773
"134","CR251226",96.5,22.68,125.79,6682562518.15512,308826.978228041
"135","CR251226",96.5,22.68,125.79,159172.54386821,65.0226742894786
"136","CR251226",96.5,22.68,125.79,223170623973.518,1829937727.00019
"137","CR251226",3.48,8.26,12.57,769.965445516055,45.6500203476028
"138","CR251226",96.5,22.68,125.79,120.413473060302,12.2304757762866
"139","CR251226",1.96,6.55,8.69,15623532977.9728,196792.296832599
"140","CR251226",3.48,8.26,12.57,12379608597.4653,886102676.391807
"141","CR251226",3.48,8.26,12.57,9737190.22215178,346881.904879774
"142","CR251227",58.05,11.9,78.16,874993.005831481,1.52662747633547
"143","CR251227",58.05,11.9,78.16,16837161831.262,9453618.90493775
"144","CR251227",26.69,16.94,51.63,3041293751.60737,23714671.4220655
"145","CR251227",96.5,22.68,125.79,159172.54386821,8.49262467519338
"146","CR251227",96.5,22.68,125.79,223170623973.518,1320975553.78838
"147","CR251227",3.48,8.26,12.57,769.965445516055,79.6299320435968
"148","CR251227",108.3,25.45,142.14,9873.49731908469,4.23696725908667
"149","CR251227",21.58,4.75,32.12,8875020483.94831,1979341.82012238
"150","CR251227",3.48,8.26,12.57,12379608597.4653,1476542548.13953
"151","CR251227",3.48,8.26,12.57,9737190.22215178,592049.98659333
"152","CR251227",8.13,4.31,13.24,1440.80063312784,10.7700660898446
"153","CR251227",8.13,4.31,13.24,213.919170204406,9.87215361025635
"154","CR251228",58.05,11.9,78.16,874993.005831481,27.9096248416098
"155","CR251228",58.05,11.9,78.16,16837161831.262,181764358.204795
"156","CR251228",74.1,19.6,106.4,35288774178.4346,553439.877406387
"157","CR251228",96.5,22.68,125.79,159172.54386821,61.7726033022083
"158","CR251228",96.5,22.68,125.79,223170623973.518,1368790960.79073
"159","CR251228",49.26,10.1,64.69,781.635298669229,7.74502905551344
"160","CR251228",1.96,6.55,8.69,15623532977.9728,34629520.5083739
"161","CR251228",3.48,8.26,12.57,12379608597.4653,472199938.094543
"162","CR251228",3.48,8.26,12.57,9737190.22215178,184808.540787961
"163","CR251228",8.13,4.31,13.24,1440.80063312784,19.3864869989255
"164","CR251228",8.13,4.31,13.24,213.919170204406,6.77169517544098
"165","CR251231",74.1,19.6,106.4,35288774178.4346,227327.362949745
"166","CR251231",96.5,22.68,125.79,6682562518.15512,64366891.0110063
"167","CR251231",96.5,22.68,125.79,223170623973.518,73291675.9631549
"168","CR251232",96.5,22.68,125.79,223170623973.518,77317600.6698647
"169","CR251236",58.05,11.9,78.16,874993.005831481,3.25233221591365
"170","CR251236",74.1,19.6,106.4,35288774178.4346,1876476755.86496
"171","CR251236",0,0,0,23045931.6847714,1564794.85357329
"172","CR251236",0,0,0,87276482.5198395,532373.809063712
"173","CR251236",52.17,10.69,68.34,6166152202.60102,206535209.275953
"174","CR251236",74.1,19.6,106.4,365235745.179879,7451806.7105848
"175","CR251236",74.1,19.6,106.4,334831.078146177,254.078550646145
"176","CR251236",74.1,19.6,106.4,268.787538389606,9.94313839636743
"177","CR251236",127.1,29.9,173.8,3213.98822363569,11.6722253691133
"178","CR251237",58.05,11.9,78.16,874993.005831481,20.3997806598351
"179","CR251237",0.8,0.16,1.05,4328705446.78249,41253563.4815316
"180","CR251237",74.1,19.6,106.4,35288774178.4346,1300697445.67401
