"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"1","CR245241",98.7,23.69,136.17,78125595.3831807,11810.0051136763
"2","CR245241",120.58,28.94,167.16,145448273.911623,601727.229714492
"3","CR245241",1.03,4.74,9.4,77473916.992449,1547739.34009936
"4","CR245241",98.7,23.69,136.17,1508142488.00348,43642.8251965815
"5","CR245241",120.58,28.94,167.16,7036463465.53076,441765.656576271
"6","CR245241",1.03,4.74,9.4,637188597.606285,3107.47668465599
"7","CR245241",120.58,28.94,167.16,10274019.909778,1418291.25035455
"8","CR245241",1.03,4.74,9.4,1582939967.60133,47506673.4870239
"9","CR245241",5.95,19.87,26.51,189451060.025735,8579120.03569214
"10","CR245241",120.58,28.94,167.16,6749583.4010553,1859478.18205614
"11","CR245241",5.95,19.87,26.51,2357345.49664495,43563.9649478517
"12","CR245241",37.74,10.58,55.41,11213427796.265,3.00630696748522
"13","CR245241",1.03,4.74,9.4,5133580946.8382,13.7120898626813
"14","CR246240",98.7,23.69,136.17,78125595.3831807,581569.29032968
"15","CR246240",120.58,28.94,167.16,145448273.911623,17683312.3199065
"16","CR246240",1.03,4.74,9.4,77473916.992449,29078323.9645654
"17","CR246240",1.03,4.74,9.4,95776736.0845105,9105825.04150744
"18","CR246240",98.7,23.69,136.17,1508142488.00348,12177520.4461323
"19","CR246240",120.58,28.94,167.16,7036463465.53076,53022179.2755875
"20","CR246240",1.03,4.74,9.4,637188597.606285,941616.494507925
"21","CR246240",1.04,10.15,12.77,11047968253.7415,16.5825636280293
"22","CR246240",120.58,28.94,167.16,10274019.909778,1429887.90497527
"23","CR246240",1.03,4.74,9.4,1582939967.60133,557038681.611731
"24","CR246240",1.04,10.15,12.77,578837.56953679,6.01441151822038
"25","CR246240",78.82,18.92,109.29,40689337.1357195,2.52408822442733
"26","CR246240",1.03,4.74,9.4,38709766590.8987,82905244.3629468
"27","CR246240",1.03,4.74,9.4,5133580946.8382,42057744.9554345
"28","CR246240",1.04,10.15,12.77,10276555269.6776,1383856.77355805
