"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"1","CR242213",121.92,29.26,167.46,9175818445.38099,7.42162184269797
"2","CR242213",69.2,15.22,103.21,121338081.723975,2136391.15796455
"3","CR242213",12.03,12.03,41.31,29583608722.5417,141352912.404265
"4","CR242213",7.4,17.58,26.79,40342699535.1182,199686248.781959
"5","CR242213",5.95,19.87,26.51,5083006879.66243,24304697.8192036
"6","CR243212",121.92,29.26,167.46,1541431768.41478,2.9813336587271
"7","CR243212",62.23,14.64,83.48,353051.21515445,353051.21515445
"8","CR243212",12.03,12.03,41.31,97816089.3538676,656191.962352019
"9","CR243212",84.38,20.25,127.54,1217112877.57952,26763123.3229931
"10","CR243212",121.92,29.26,167.46,9175818445.38099,32531421.0410139
"11","CR243212",62.23,14.64,83.48,25319653.7956253,19211964.973566
"12","CR243212",12.03,12.03,41.31,29583608722.5417,860633260.616993
"13","CR243212",69.2,15.22,103.21,16061499629.525,65875484.4836917
"14","CR243212",12.03,24.53,41.31,141272933.07782,10334550.3213165
"15","CR243212",7.4,17.58,26.79,40342699535.1182,119790204.00022
"16","CR243213",121.92,29.26,167.46,1541431768.41478,2.5415540629765
"17","CR243213",7.4,17.58,26.79,260574841.560841,263160.72955982
"18","CR243213",121.92,29.26,167.46,9175818445.38099,107248886.976249
"19","CR243213",69.2,15.22,103.21,121338081.723975,4124438.46327805
"20","CR243213",12.03,12.03,41.31,29583608722.5417,827393948.672041
"21","CR243213",69.2,15.22,103.21,16061499629.525,140754697.947845
"22","CR243213",12.03,24.53,41.31,141272933.07782,1867528.87268015
"23","CR243213",7.4,17.58,26.79,40342699535.1182,458348574.5086
"24","CR243213",59.82,13.76,81.56,1678131990.24472,205841282.31802
"25","CR243213",4.31,7.15,11.96,4374957526.94904,82411849.4565125
"26","CR243213",5.95,19.87,26.51,5083006879.66243,53434379.1451123
"27","CR244212",121.92,29.26,167.46,1541431768.41478,337081.938746089
"28","CR244212",4.17,13.94,18.49,295638357.287417,4970625.06188921
"29","CR244212",84.38,20.25,127.54,1217112877.57952,65970844.8090995
"30","CR244212",121.92,29.26,167.46,9175818445.38099,24875470.0657222
"31","CR244212",65.98,6.6,81.73,2423764165.82006,2997.17252734854
"32","CR244212",62.23,14.64,83.48,25319653.7956253,6107688.82205933
"33","CR244212",69.2,15.22,103.21,121338081.723975,17787.4316631285
"34","CR244212",12.03,12.03,41.31,29583608722.5417,392823761.041116
"35","CR244212",69.2,15.22,103.21,16061499629.525,10010674.0879418
"36","CR244212",4.17,13.94,18.49,22586617110.3508,164783652.36657
"37","CR244212",7.4,17.58,26.79,40342699535.1182,20543738.7941252
"38","CR244213",121.92,29.26,167.46,1541431768.41478,111105.953968175
"39","CR244213",69.2,15.22,103.21,4644142.68055308,1206711.42226624
"40","CR244213",12.03,12.03,41.31,97816089.3538676,4487158.10898786
"41","CR244213",69.2,15.22,103.21,153188418.530693,7370583.33984221
"42","CR244213",4.17,13.94,18.49,295638357.287417,483336.689065428
"43","CR244213",3.93,13.12,17.49,265322010.074283,19907.1208111234
"44","CR244213",121.92,29.26,167.46,9175818445.38099,194454173.288856
"45","CR244213",69.2,15.22,103.21,121338081.723975,6912711.07948587
"46","CR244213",12.03,12.03,41.31,29583608722.5417,408368092.422889
"47","CR244213",69.2,15.22,103.21,16061499629.525,1458849882.81948
"48","CR244213",4.17,13.94,18.49,22586617110.3508,38784862.842009
"49","CR244213",7.4,17.58,26.79,40342699535.1182,317696568.692536
"50","CR244213",59.82,13.76,81.56,1678131990.24472,25944643.8756842
"51","CR244213",3.93,13.12,17.49,9128615736.79685,26113801.2857615
"52","CR244213",5.95,19.87,26.51,5083006879.66243,2735175.86886443
"53","CR244214",121.92,29.26,167.46,1541431768.41478,680036.199291769
"54","CR244214",69.2,15.22,103.21,153188418.530693,722828.537785195
"55","CR244214",4.17,13.94,18.49,295638357.287417,1568583.04746533
