"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Variável - Área plantada (Hectares)"
"Nível";"Cód.";"Município";"Ano x Produto das lavouras temporárias"
"Nível";"Cód.";"Município";"2015";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2020"
"Nível";"Cód.";"Município";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)";"Abacaxi*";"Alfafa fenada";"Algodão herbáceo (em caroço)";"Alho";"Amendoim (em casca)";"Arroz (em casca)";"Aveia (em grão)";"Batata-doce";"Batata-inglesa";"Cana-de-açúcar";"Cana para forragem";"Cebola";"Centeio (em grão)";"Cevada (em grão)";"Ervilha (em grão)";"Fava (em grão)";"Feijão (em grão)";"Fumo (em folha)";"Girassol (em grão)";"Juta (fibra)";"Linho (semente)";"Malva (fibra)";"Mamona (baga)";"Mandioca";"Melancia";"Melão";"Milho (em grão)";"Rami (fibra)";"Soja (em grão)";"Sorgo (em grão)";"Tomate";"Trigo (em grão)";"Triticale (em grão)"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"7";"...";"-";"-";"2";"336";"-";"-";"-";"20";"...";"-";"-";"-";"-";"-";"3406";"-";"-";"-";"-";"-";"-";"566";"6";"-";"6528";"-";"350";"-";"18";"-";"-";"7";"...";"-";"-";"2";"235";"-";"-";"-";"10";"...";"-";"-";"-";"-";"-";"3406";"-";"-";"-";"-";"-";"-";"566";"8";"-";"6728";"-";"450";"-";"10";"-";"-"
"MU";"1100023";"Ariquemes (RO)";"20";"...";"-";"-";"-";"1360";"-";"-";"-";"10";"...";"-";"-";"-";"-";"-";"30";"-";"-";"-";"-";"-";"-";"330";"20";"-";"710";"-";"2243";"-";"-";"-";"-";"22";"...";"-";"-";"-";"500";"-";"-";"-";"20";"...";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"160";"25";"5";"1600";"-";"7782";"-";"2";"-";"-"
"MU";"1100031";"Cabixi (RO)";"2";"...";"-";"-";"2";"2765";"-";"-";"-";"60";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"43";"-";"-";"7025";"-";"21050";"-";"2";"-";"-";"4";"...";"-";"-";"1";"800";"-";"-";"-";"70";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"70";"1";"-";"20400";"-";"24950";"-";"-";"-";"-"
"MU";"1100049";"Cacoal (RO)";"20";"...";"-";"-";"-";"276";"-";"-";"-";"10";"...";"-";"-";"-";"-";"-";"1750";"-";"-";"-";"-";"-";"-";"670";"15";"-";"2139";"-";"250";"-";"4";"-";"-";"79";"...";"-";"-";"25";"50";"-";"-";"-";"21";"...";"-";"-";"-";"-";"-";"875";"-";"-";"-";"-";"-";"-";"385";"33";"-";"2139";"-";"1000";"-";"7";"-";"-"
"MU";"1100056";"Cerejeiras (RO)";"15";"...";"-";"-";"-";"1300";"-";"-";"-";"350";"...";"-";"-";"-";"-";"-";"25";"-";"-";"-";"-";"-";"-";"170";"-";"-";"19050";"-";"27000";"-";"15";"-";"-";"30";"...";"-";"-";"8";"600";"-";"-";"-";"100";"...";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"120";"45";"-";"32050";"-";"36150";"-";"25";"-";"-"
"MU";"1100064";"Colorado do Oeste (RO)";"3";"...";"-";"-";"-";"35";"-";"-";"-";"50";"...";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"150";"-";"-";"2050";"-";"3000";"-";"4";"-";"-";"4";"...";"-";"-";"3";"10";"-";"-";"-";"9";"...";"-";"-";"-";"-";"-";"5";"-";"-";"-";"-";"-";"-";"150";"4";"-";"1550";"-";"3250";"-";"4";"-";"-"
"MU";"1100072";"Corumbiara (RO)";"3";"...";"-";"-";"3";"3000";"-";"-";"-";"12";"...";"-";"-";"-";"-";"-";"200";"-";"-";"-";"-";"-";"-";"170";"-";"-";"18100";"-";"39450";"-";"2";"-";"-";"15";"...";"-";"-";"-";"3000";"-";"-";"-";"20";"...";"-";"-";"-";"-";"-";"50";"-";"-";"-";"-";"-";"-";"145";"-";"-";"26020";"-";"40500";"-";"-";"-";"-"
"MU";"1100080";"Costa Marques (RO)";"3";"...";"-";"-";"-";"30";"-";"-";"-";"10";"...";"-";"-";"-";"-";"-";"80";"-";"-";"-";"-";"-";"-";"265";"-";"-";"400";"-";"-";"-";"-";"-";"-";"6";"...";"-";"-";"-";"-";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"10";"-";"-";"-";"-";"-";"-";"231";"-";"-";"120";"-";"-";"-";"-";"-";"-"
"MU";"1100098";"Espigão D'Oeste (RO)";"1";"...";"-";"-";"4";"255";"-";"-";"-";"100";"...";"-";"-";"-";"-";"-";"192";"-";"-";"-";"-";"-";"-";"244";"20";"-";"2484";"-";"900";"-";"10";"-";"-";"1";"...";"-";"-";"-";"35";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"211";"-";"-";"-";"-";"-";"-";"312";"20";"-";"2284";"-";"900";"-";"10";"-";"-"
"MU";"1100106";"Guajará-Mirim (RO)";"10";"...";"-";"-";"2";"12";"-";"-";"-";"5";"...";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"500";"5";"-";"40";"-";"-";"-";"1";"-";"-";"5";"...";"-";"-";"-";"12";"-";"-";"-";"6";"...";"-";"-";"-";"-";"-";"20";"-";"-";"-";"-";"-";"-";"600";"-";"-";"50";"-";"-";"-";"-";"-";"-"
