"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Município";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Município";"2015";"2020"
"Nível";"Cód.";"Município";"Bovino";"Bovino"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"407890";"460450"
"MU";"1100023";"Ariquemes (RO)";"455731";"499067"
"MU";"1100031";"Cabixi (RO)";"130561";"121887"
"MU";"1100049";"Cacoal (RO)";"454967";"427096"
"MU";"1100056";"Cerejeiras (RO)";"90184";"84738"
"MU";"1100064";"Colorado do Oeste (RO)";"255188";"260077"
"MU";"1100072";"Corumbiara (RO)";"308620";"309415"
"MU";"1100080";"Costa Marques (RO)";"229225";"261485"
"MU";"1100098";"Espigão D'Oeste (RO)";"397743";"386629"
"MU";"1100106";"Guajará-Mirim (RO)";"127103";"136716"
"MU";"1100114";"Jaru (RO)";"522371";"526279"
"MU";"1100122";"Ji-Paraná (RO)";"440260";"393578"
"MU";"1100130";"Machadinho D'Oeste (RO)";"291490";"407629"
"MU";"1100148";"Nova Brasilândia D'Oeste (RO)";"179418";"230251"
"MU";"1100155";"Ouro Preto do Oeste (RO)";"354303";"356886"
"MU";"1100189";"Pimenta Bueno (RO)";"269375";"312938"
"MU";"1100205";"Porto Velho (RO)";"834570";"1267441"
"MU";"1100254";"Presidente Médici (RO)";"317417";"349255"
"MU";"1100262";"Rio Crespo (RO)";"120699";"120602"
"MU";"1100288";"Rolim de Moura (RO)";"247957";"238534"
"MU";"1100296";"Santa Luzia D'Oeste (RO)";"175488";"180501"
"MU";"1100304";"Vilhena (RO)";"120620";"142155"
"MU";"1100320";"São Miguel do Guaporé (RO)";"265421";"258493"
"MU";"1100338";"Nova Mamoré (RO)";"565040";"769264"
"MU";"1100346";"Alvorada D'Oeste (RO)";"260624";"267652"
"MU";"1100379";"Alto Alegre dos Parecis (RO)";"187193";"218733"
"MU";"1100403";"Alto Paraíso (RO)";"258895";"342015"
"MU";"1100452";"Buritis (RO)";"458876";"520182"
"MU";"1100502";"Novo Horizonte do Oeste (RO)";"152638";"156192"
"MU";"1100601";"Cacaulândia (RO)";"245529";"279099"
"MU";"1100700";"Campo Novo de Rondônia (RO)";"390284";"437296"
"MU";"1100809";"Candeias do Jamari (RO)";"204124";"269105"
"MU";"1100908";"Castanheiras (RO)";"111974";"110987"
"MU";"1100924";"Chupinguaia (RO)";"360455";"357045"
"MU";"1100940";"Cujubim (RO)";"168770";"214798"
"MU";"1101005";"Governador Jorge Teixeira (RO)";"276082";"283199"
"MU";"1101104";"Itapuã do Oeste (RO)";"84506";"91600"
"MU";"1101203";"Ministro Andreazza (RO)";"128252";"130873"
"MU";"1101302";"Mirante da Serra (RO)";"124192";"125448"
"MU";"1101401";"Monte Negro (RO)";"290367";"309675"
"MU";"1101435";"Nova União (RO)";"140449";"145021"
"MU";"1101450";"Parecis (RO)";"171220";"189292"
"MU";"1101468";"Pimenteiras do Oeste (RO)";"142601";"119006"
"MU";"1101476";"Primavera de Rondônia (RO)";"79478";"75718"
